turn_id,audio_file,pause_index,pause_start,pause_end,label
en__000,audio/en__000.wav,0,6.3,6.6,hold
en__000,audio/en__000.wav,1,8.6,9.5,hold
en__000,audio/en__000.wav,2,10.9,11.7,hold
en__000,audio/en__000.wav,3,13.7,15.071,eot
en__001,audio/en__001.wav,0,4.8,5.0,hold
en__001,audio/en__001.wav,1,10.7,12.128,eot
en__002,audio/en__002.wav,0,4.0,5.8,hold
en__002,audio/en__002.wav,1,6.3,6.5,hold
en__002,audio/en__002.wav,2,8.6,8.9,hold
en__002,audio/en__002.wav,3,9.6,10.1,hold
en__002,audio/en__002.wav,4,16.1,17.9,hold
en__002,audio/en__002.wav,5,22.3,23.9,hold
en__002,audio/en__002.wav,6,24.7,26.071,eot
en__003,audio/en__003.wav,0,6.4,7.737,eot
en__004,audio/en__004.wav,0,5.6,6.0,hold
en__004,audio/en__004.wav,1,6.8,8.073,eot
en__005,audio/en__005.wav,0,4.0,4.4,hold
en__005,audio/en__005.wav,1,5.4,6.701,eot
en__006,audio/en__006.wav,0,10.8,11.7,hold
en__006,audio/en__006.wav,1,14.4,14.8,hold
en__006,audio/en__006.wav,2,16.1,17.397,eot
en__007,audio/en__007.wav,0,8.9,9.7,hold
en__007,audio/en__007.wav,1,12.1,12.3,hold
en__007,audio/en__007.wav,2,12.8,13.1,hold
en__007,audio/en__007.wav,3,13.9,14.4,hold
en__007,audio/en__007.wav,4,16.5,19.4,hold
en__007,audio/en__007.wav,5,20.6,22.4,hold
en__007,audio/en__007.wav,6,25.0,26.294,eot
en__008,audio/en__008.wav,0,4.9,5.3,hold
en__008,audio/en__008.wav,1,7.1,7.3,hold
en__008,audio/en__008.wav,2,8.3,9.1,hold
en__008,audio/en__008.wav,3,11.9,13.191,eot
en__009,audio/en__009.wav,0,7.2,8.463,eot
en__010,audio/en__010.wav,0,5.4,5.8,hold
en__010,audio/en__010.wav,1,7.8,9.109,eot
en__011,audio/en__011.wav,0,4.2,5.536,eot
en__012,audio/en__012.wav,0,9.7,10.4,hold
en__012,audio/en__012.wav,1,13.7,14.1,hold
en__012,audio/en__012.wav,2,15.9,17.336,eot
en__013,audio/en__013.wav,0,2.3,3.721,eot
en__014,audio/en__014.wav,0,10.2,10.3,hold
en__014,audio/en__014.wav,1,13.0,14.425,eot
en__015,audio/en__015.wav,0,10.6,11.1,hold
en__015,audio/en__015.wav,1,18.4,19.751,eot
en__016,audio/en__016.wav,0,9.6,9.9,hold
en__016,audio/en__016.wav,1,14.9,15.2,hold
en__016,audio/en__016.wav,2,18.3,19.582,eot
en__017,audio/en__017.wav,0,2.5,2.8,hold
en__017,audio/en__017.wav,1,7.3,8.608,eot
en__018,audio/en__018.wav,0,3.3,4.3,hold
en__018,audio/en__018.wav,1,4.9,5.1,hold
en__018,audio/en__018.wav,2,5.9,8.2,hold
en__018,audio/en__018.wav,3,9.0,9.4,hold
en__018,audio/en__018.wav,4,10.0,10.2,hold
en__018,audio/en__018.wav,5,11.0,12.35,eot
en__019,audio/en__019.wav,0,7.2,8.644,eot
en__020,audio/en__020.wav,0,8.2,8.4,hold
en__020,audio/en__020.wav,1,9.2,9.6,hold
en__020,audio/en__020.wav,2,13.2,14.454,eot
en__021,audio/en__021.wav,0,3.7,5.116,eot
en__022,audio/en__022.wav,0,7.5,7.7,hold
en__022,audio/en__022.wav,1,8.3,9.72,eot
en__023,audio/en__023.wav,0,4.2,4.9,hold
en__023,audio/en__023.wav,1,8.3,8.7,hold
en__023,audio/en__023.wav,2,10.2,11.545,eot
en__024,audio/en__024.wav,0,3.0,4.1,hold
en__024,audio/en__024.wav,1,5.5,6.8,hold
en__024,audio/en__024.wav,2,8.5,9.757,eot
en__025,audio/en__025.wav,0,3.3,4.671,eot
en__026,audio/en__026.wav,0,4.8,6.051,eot
en__027,audio/en__027.wav,0,3.5,3.7,hold
en__027,audio/en__027.wav,1,4.2,5.456,eot
en__028,audio/en__028.wav,0,2.1,2.2,hold
en__028,audio/en__028.wav,1,2.8,4.122,eot
en__029,audio/en__029.wav,0,3.6,3.7,hold
en__029,audio/en__029.wav,1,8.1,8.5,hold
en__029,audio/en__029.wav,2,14.8,16.095,eot
en__030,audio/en__030.wav,0,3.3,3.8,hold
en__030,audio/en__030.wav,1,5.3,6.1,hold
en__030,audio/en__030.wav,2,8.0,8.8,hold
en__030,audio/en__030.wav,3,10.4,11.4,hold
en__030,audio/en__030.wav,4,13.6,14.859,eot
en__031,audio/en__031.wav,0,3.2,4.531,eot
en__032,audio/en__032.wav,0,4.7,5.0,hold
en__032,audio/en__032.wav,1,8.0,9.255,eot
en__033,audio/en__033.wav,0,4.0,5.41,eot
en__034,audio/en__034.wav,0,5.0,5.5,hold
en__034,audio/en__034.wav,1,7.3,8.584,eot
en__035,audio/en__035.wav,0,4.0,4.6,hold
en__035,audio/en__035.wav,1,7.4,8.3,hold
en__035,audio/en__035.wav,2,11.3,12.702,eot
en__036,audio/en__036.wav,0,3.3,3.8,hold
en__036,audio/en__036.wav,1,5.4,5.9,hold
en__036,audio/en__036.wav,2,7.8,9.067,eot
en__037,audio/en__037.wav,0,6.2,7.4,hold
en__037,audio/en__037.wav,1,14.1,14.5,hold
en__037,audio/en__037.wav,2,16.3,16.5,hold
en__037,audio/en__037.wav,3,17.3,18.681,eot
