turn_id,pause_index,p_eot
en__000,0,0.2978
en__000,1,0.3225
en__000,2,0.3840
en__000,3,0.5309
en__001,0,0.5388
en__001,1,0.6585
en__002,0,0.4038
en__002,1,0.3296
en__002,2,0.4742
en__002,3,0.5997
en__002,4,0.5649
en__002,5,0.5524
en__002,6,0.6086
en__003,0,0.5769
en__004,0,0.4274
en__004,1,0.6328
en__005,0,0.2458
en__005,1,0.5815
en__006,0,0.2293
en__006,1,0.4379
en__006,2,0.6666
en__007,0,0.3391
en__007,1,0.2262
en__007,2,0.4467
en__007,3,0.4088
en__007,4,0.2922
en__007,5,0.3837
en__007,6,0.4308
en__008,0,0.4525
en__008,1,0.4878
en__008,2,0.5489
en__008,3,0.6498
en__009,0,0.4555
en__010,0,0.3075
en__010,1,0.6845
en__011,0,0.5889
en__012,0,0.3730
en__012,1,0.3949
en__012,2,0.4708
en__013,0,0.6052
en__014,0,0.3684
en__014,1,0.5724
en__015,0,0.2481
en__015,1,0.5642
en__016,0,0.4811
en__016,1,0.5461
en__016,2,0.6285
en__017,0,0.5956
en__017,1,0.5766
en__018,0,0.4288
en__018,1,0.3690
en__018,2,0.3034
en__018,3,0.5008
en__018,4,0.4015
en__018,5,0.4743
en__019,0,0.6405
en__020,0,0.3788
en__020,1,0.4560
en__020,2,0.6892
en__021,0,0.6561
en__022,0,0.4514
en__022,1,0.6292
en__023,0,0.1940
en__023,1,0.1846
en__023,2,0.4720
en__024,0,0.2844
en__024,1,0.3733
en__024,2,0.5121
en__025,0,0.6326
en__026,0,0.5463
en__027,0,0.5228
en__027,1,0.6274
en__028,0,0.2970
en__028,1,0.4593
en__029,0,0.4175
en__029,1,0.4864
en__029,2,0.5582
en__030,0,0.4953
en__030,1,0.3392
en__030,2,0.4806
en__030,3,0.4620
en__030,4,0.6100
en__031,0,0.7339
en__032,0,0.3428
en__032,1,0.4996
en__033,0,0.6416
en__034,0,0.4312
en__034,1,0.6567
en__035,0,0.4522
en__035,1,0.4717
en__035,2,0.6399
en__036,0,0.2761
en__036,1,0.2833
en__036,2,0.6244
en__037,0,0.3845
en__037,1,0.4020
en__037,2,0.3557
en__037,3,0.5154
en__038,0,0.3102
en__038,1,0.2902
en__038,2,0.4625
en__038,3,0.5436
en__039,0,0.2864
en__039,1,0.2793
en__039,2,0.5412
en__040,0,0.4205
en__041,0,0.6891
en__042,0,0.4084
en__042,1,0.2587
en__042,2,0.3754
en__042,3,0.3621
en__042,4,0.5905
en__043,0,0.6514
en__044,0,0.4079
en__044,1,0.5748
en__044,2,0.6023
en__045,0,0.3134
en__045,1,0.5890
en__046,0,0.3052
en__046,1,0.3303
en__046,2,0.5492
en__047,0,0.5175
en__048,0,0.5011
en__048,1,0.6522
en__049,0,0.4804
en__049,1,0.3042
en__049,2,0.3732
en__049,3,0.5623
en__049,4,0.5961
en__050,0,0.5756
en__051,0,0.6079
en__051,1,0.5437
en__051,2,0.5672
en__052,0,0.5324
en__052,1,0.5143
en__052,2,0.6432
en__053,0,0.4240
en__053,1,0.6086
en__054,0,0.5381
en__054,1,0.6733
en__055,0,0.6256
en__056,0,0.6854
en__057,0,0.5694
en__058,0,0.6226
en__059,0,0.3443
en__059,1,0.5190
en__059,2,0.6224
en__060,0,0.5353
en__060,1,0.6144
en__061,0,0.5770
en__061,1,0.5698
en__061,2,0.6158
en__062,0,0.6752
en__063,0,0.6033
en__063,1,0.6373
en__064,0,0.5336
en__064,1,0.6755
en__065,0,0.5297
en__065,1,0.2864
en__065,2,0.5538
en__066,0,0.5483
en__066,1,0.5425
en__067,0,0.3530
en__067,1,0.5674
en__067,2,0.6226
en__068,0,0.3987
en__068,1,0.4926
en__068,2,0.5720
en__069,0,0.5220
en__069,1,0.6204
en__070,0,0.1739
en__070,1,0.3859
en__070,2,0.4103
en__070,3,0.3514
en__070,4,0.3530
en__070,5,0.3470
en__070,6,0.5308
en__071,0,0.5011
en__072,0,0.6774
en__073,0,0.3598
en__073,1,0.5239
en__074,0,0.6769
en__075,0,0.6536
en__076,0,0.6459
en__077,0,0.2883
en__077,1,0.3710
en__077,2,0.5706
en__078,0,0.4839
en__079,0,0.4491
en__079,1,0.5497
en__080,0,0.3508
en__080,1,0.4232
en__080,2,0.4577
en__080,3,0.3635
en__080,4,0.4411
en__080,5,0.5926
en__081,0,0.4162
en__081,1,0.3400
en__081,2,0.2460
en__081,3,0.2447
en__081,4,0.6576
en__082,0,0.4448
en__082,1,0.6980
en__083,0,0.3401
en__083,1,0.3471
en__083,2,0.6188
en__084,0,0.6105
en__085,0,0.5806
en__086,0,0.3734
en__086,1,0.3149
en__086,2,0.5964
en__087,0,0.5040
en__088,0,0.5047
en__088,1,0.6742
en__089,0,0.2540
en__089,1,0.5157
en__090,0,0.5243
en__090,1,0.5418
en__090,2,0.4951
en__090,3,0.6813
en__091,0,0.4964
en__091,1,0.4394
en__091,2,0.3756
en__091,3,0.5048
en__091,4,0.5694
en__091,5,0.5757
en__091,6,0.5221
en__091,7,0.6795
en__092,0,0.4381
en__092,1,0.6687
en__093,0,0.3802
en__093,1,0.2916
en__093,2,0.5727
en__093,3,0.3622
en__093,4,0.4828
en__094,0,0.3585
en__094,1,0.7178
en__095,0,0.2336
en__095,1,0.2532
en__095,2,0.4758
en__095,3,0.2871
en__095,4,0.5164
en__095,5,0.5899
en__096,0,0.5559
en__097,0,0.5599
en__097,1,0.6093
en__098,0,0.5541
en__099,0,0.6343
